dataset_name,skewness
sulfur,6.725174277804434
elevators,2.4247125919072055
Bike_Sharing_Demand,1.2774116037490577
Bike_Sharing_Demand,1.2774116037490577
Mercedes_Benz_Greener_Manufacturing,1.206525852242492
OnlineNewsPopularity,1.0264770065011177
pol,0.9176513652145993
medical_charges,0.877625179380255
superconduct,0.8602232926106779
SGEMM_GPU_kernel_performance,0.7899322614687235
MiamiHousing2016,0.7387433186939026
fifa,0.522508404144816
house_sales,0.4280765149574905
house_sales,0.4280765149574905
visualizing_soil,0.32904856614516864
Brazilian_houses,0.29875793466012085
Brazilian_houses,0.29875793466012085
california,0.27593905091711324
wine_quality,0.18962269337269683
diamonds,0.11592647880233903
diamonds,0.11592647880233903
isolet,-0.0005387327514782351
nyc-taxi-green-dec-2016,-0.0008599611855094304
nyc-taxi-green-dec-2016,-0.0008599611855094304
houses,-0.1731657814203092
particulate-matter-ukair-2017,-0.5351303962261055
Ailerons,-1.3550679740647504
black_friday,-1.58115915285282
year,-1.7315499100826381
yprop_4_1,-2.226965614647995
analcatdata_supreme,-2.3462353171072525
cpu_act,-3.4167496030437094
house_16H,-3.432040250338991
